PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Illinois,2010,50,X,2.05097,X,X,X,X,X,X,775,80,37787
States,Indiana,2010,50,X,0.964187,X,X,X,X,X,X,98,41,10164
States,Iowa,2010,50,X,1.49854,X,X,X,X,X,X,41,10,2736
States,Kansas,2010,50,X,0.8626,X,X,X,X,X,X,84,41,9738
States,Kentucky,2010,50,X,0.629651,X,X,X,X,X,X,77,13,12229
States,Louisiana,2010,50,X,X,X,X,X,X,X,X,X,X,X
States,Maine,2010,50,X,0.341472,X,X,X,X,X,X,20,29,5857
States,Maryland,2010,50,X,2.00849,X,X,X,X,X,X,175,18,8713
States,Massachusetts,2010,50,X,1.12005,X,X,X,X,X,X,316,55,28213
States,Michigan,2010,50,X,0.755685,X,X,X,X,X,X,106,52,14027
States,Minnesota,2010,50,X,1.16119,X,X,X,X,X,X,59,15,5081
States,Mississippi,2010,50,X,8.81573,X,X,X,X,X,X,1529,48,17344
States,Missouri,2010,50,X,1.41003,X,X,X,X,X,X,126,32,8936
States,Montana,2010,50,X,0.0772798,X,X,X,X,X,X,2,6,2588
States,Nebraska,2010,50,X,3.2371,X,X,X,X,X,X,111,15,3429
States,Nevada,2010,50,X,4.28725,X,X,X,X,X,X,440,33,10263
States,New Hampshire,2010,50,X,0.070922,X,X,X,X,X,X,4,31,5640
States,New Jersey,2010,50,X,3.20073,X,X,X,X,X,X,210,25,6561
States,New Mexico,2010,50,X,2.72335,X,X,X,X,X,X,221,25,8115
States,New York,2010,50,X,2.68099,X,X,X,X,X,X,357,102,13316
States,North Carolina,2010,50,X,0.628731,X,X,X,X,X,X,119,74,18927
States,North Dakota,2010,50,X,0.317628,X,X,X,X,X,X,6,11,1889
States,Ohio,2010,50,X,0.446457,X,X,X,X,X,X,69,52,15455
States,Oklahoma,2010,50,X,3.40386,X,X,X,X,X,X,111,17,3261
States,Oregon,2010,50,X,1.39498,X,X,X,X,X,X,35,19,2509
States,Pennsylvania,2010,50,X,1.35668,X,X,X,X,X,X,196,58,14447
States,Rhode Island,2010,50,X,0.468165,X,X,X,X,X,X,30,21,6408
States,South Carolina,2010,50,X,0.804237,X,X,X,X,X,X,41,17,5098
States,South Dakota,2010,50,X,0.945846,X,X,X,X,X,X,51,19,5392
States,Tennessee,2010,50,X,1.37845,X,X,X,X,X,X,121,51,8778
States,Texas,2010,50,X,2.84097,X,X,X,X,X,X,1350,88,47519
States,Utah,2010,50,X,1.1154,X,X,X,X,X,X,78,21,6993
States,Vermont,2010,50,X,1.34553,X,X,X,X,X,X,50,14,3716
States,Virginia,2010,50,X,1.75344,X,X,X,X,X,X,945,83,53894
States,Washington,2010,50,X,0.647549,X,X,X,X,X,X,14,16,2162
States,West Virginia,2010,50,X,1.41603,X,X,X,X,X,X,121,34,8545
States,Wisconsin,2010,50,X,0.661686,X,X,X,X,X,X,31,50,4685
States,Wyoming,2010,50,X,0.311785,X,X,X,X,X,X,15,28,4811
States,New York City,2010,50,X,3.28095,X,X,X,X,X,X,3113,41,94881
States,Alabama,2010,51,X,13.0878,X,X,X,X,X,X,1297,36,9910
States,Alaska,2010,51,X,0.852273,X,X,X,X,X,X,15,8,1760
States,Arizona,2010,51,X,2.3027,X,X,X,X,X,X,454,53,19716
States,Arkansas,2010,51,X,3.61163,X,X,X,X,X,X,77,15,2132
States,California,2010,51,X,4.62077,X,X,X,X,X,X,1057,127,22875
States,Colorado,2010,51,X,0.833503,X,X,X,X,X,X,123,12,14757
States,Connecticut,2010,51,X,0.873563,X,X,X,X,X,X,19,19,2175
States,Delaware,2010,51,X,0.504267,X,X,X,X,X,X,13,11,2578
States,District of Columbia,2010,51,X,5.76822,X,X,X,X,X,X,110,4,1907
States,Florida,2010,51,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2010,51,X,7.27884,X,X,X,X,X,X,2489,63,34195
States,Hawaii,2010,51,X,2.21704,X,X,X,X,X,X,19,17,857
States,Idaho,2010,51,X,3.20553,X,X,X,X,X,X,102,12,3182
States,Illinois,2010,51,X,3.09033,X,X,X,X,X,X,1039,79,33621
States,Indiana,2010,51,X,1.36295,X,X,X,X,X,X,100,41,7337
States,Iowa,2010,51,X,2.07254,X,X,X,X,X,X,44,10,2123
States,Kansas,2010,51,X,0.968867,X,X,X,X,X,X,75,42,7741
States,Kentucky,2010,51,X,1.2874,X,X,X,X,X,X,148,14,11496
States,Louisiana,2010,51,X,X,X,X,X,X,X,X,X,X,X
States,Maine,2010,51,X,0.59952,X,X,X,X,X,X,25,30,4170
States,Maryland,2010,51,X,2.738,X,X,X,X,X,X,174,17,6355
States,Massachusetts,2010,51,X,1.30649,X,X,X,X,X,X,268,49,20513
States,Michigan,2010,51,X,0.683919,X,X,X,X,X,X,74,47,10820
States,Minnesota,2010,51,X,1.0122,X,X,X,X,X,X,39,15,3853
States,Mississippi,2010,51,X,10.8166,X,X,X,X,X,X,1775,45,16410
States,Missouri,2010,51,X,2.34292,X,X,X,X,X,X,154,32,6573
States,Montana,2010,51,X,0.062422,X,X,X,X,X,X,1,6,1602
States,Nebraska,2010,51,X,2.22063,X,X,X,X,X,X,62,15,2792
States,Nevada,2010,51,X,3.46784,X,X,X,X,X,X,495,37,14274
States,New Hampshire,2010,51,X,0.243309,X,X,X,X,X,X,10,31,4110
States,New Jersey,2010,51,X,4.6438,X,X,X,X,X,X,264,25,5685
States,New Mexico,2010,51,X,3.41176,X,X,X,X,X,X,232,22,6800
States,New York,2010,51,X,3.84844,X,X,X,X,X,X,388,103,10082
States,North Carolina,2010,51,X,0.944729,X,X,X,X,X,X,107,68,11326
States,North Dakota,2010,51,X,0.275672,X,X,X,X,X,X,4,11,1451
States,Ohio,2010,51,X,0.598156,X,X,X,X,X,X,72,47,12037
States,Oklahoma,2010,51,X,4.09441,X,X,X,X,X,X,85,17,2076
States,Oregon,2010,51,X,2.06037,X,X,X,X,X,X,43,20,2087
States,Pennsylvania,2010,51,X,2.00375,X,X,X,X,X,X,214,55,10680
States,Rhode Island,2010,51,X,0.854701,X,X,X,X,X,X,38,21,4446
States,South Carolina,2010,51,X,0.799381,X,X,X,X,X,X,31,17,3878
States,South Dakota,2010,51,X,1.51849,X,X,X,X,X,X,69,19,4544
States,Tennessee,2010,51,X,2.36079,X,X,X,X,X,X,145,49,6142
States,Texas,2010,51,X,3.87315,X,X,X,X,X,X,1418,81,36611
States,Utah,2010,51,X,1.10739,X,X,X,X,X,X,43,15,3883
States,Vermont,2010,51,X,1.51873,X,X,X,X,X,X,45,13,2963
States,Virginia,2010,51,X,2.19585,X,X,X,X,X,X,1260,89,57381
States,Washington,2010,51,X,0.387097,X,X,X,X,X,X,6,17,1550
States,West Virginia,2010,51,X,1.19637,X,X,X,X,X,X,87,32,7272
States,Wisconsin,2010,51,X,0.693594,X,X,X,X,X,X,17,46,2451
States,Wyoming,2010,51,X,1.63244,X,X,X,X,X,X,62,29,3798
States,New York City,2010,51,X,4.26261,X,X,X,X,X,X,3819,41,89593
States,Alabama,2010,52,X,11.6592,X,X,X,X,X,X,1274,38,10927
States,Alaska,2010,52,X,1.13086,X,X,X,X,X,X,21,8,1857
States,Arizona,2010,52,X,1.51649,X,X,X,X,X,X,344,69,22684
States,Arkansas,2010,52,X,2.5771,X,X,X,X,X,X,61,16,2367
States,California,2010,52,X,4.6895,X,X,X,X,X,X,916,125,19533
States,Colorado,2010,52,X,1.06009,X,X,X,X,X,X,160,10,15093
States,Connecticut,2010,52,X,0.853578,X,X,X,X,X,X,13,19,1523
States,Delaware,2010,52,X,0.508974,X,X,X,X,X,X,19,14,3733
States,District of Columbia,2010,52,X,6.84746,X,X,X,X,X,X,101,4,1475
States,Florida,2010,52,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2010,52,X,6.06827,X,X,X,X,X,X,2064,60,34013
States,Hawaii,2010,52,X,3.34378,X,X,X,X,X,X,32,17,957
States,Idaho,2010,52,X,2.59815,X,X,X,X,X,X,90,12,3464
States,Illinois,2010,52,X,3.55156,X,X,X,X,X,X,1251,76,35224
States,Indiana,2010,52,X,1.7327,X,X,X,X,X,X,136,41,7849
States,Iowa,2010,52,X,1.45606,X,X,X,X,X,X,28,10,1923
States,Kansas,2010,52,X,1.36456,X,X,X,X,X,X,81,38,5936
States,Kentucky,2010,52,X,0.954144,X,X,X,X,X,X,134,14,14044
States,Louisiana,2010,52,X,X,X,X,X,X,X,X,X,X,X
States,Maine,2010,52,X,0.644828,X,X,X,X,X,X,25,31,3877
States,Maryland,2010,52,X,3.6845,X,X,X,X,X,X,199,16,5401
States,Massachusetts,2010,52,X,1.4601,X,X,X,X,X,X,258,50,17670
States,Michigan,2010,52,X,0.899631,X,X,X,X,X,X,83,48,9226
States,Minnesota,2010,52,X,1.10533,X,X,X,X,X,X,34,15,3076
States,Mississippi,2010,52,X,9.03389,X,X,X,X,X,X,1570,45,17379
States,Missouri,2010,52,X,2.68029,X,X,X,X,X,X,181,32,6753
States,Montana,2010,52,X,0.234926,X,X,X,X,X,X,3,5,1277
States,Nebraska,2010,52,X,3.82883,X,X,X,X,X,X,85,14,2220
States,Nevada,2010,52,X,3.88664,X,X,X,X,X,X,624,38,16055
States,New Hampshire,2010,52,X,0.266046,X,X,X,X,X,X,8,30,3007
States,New Jersey,2010,52,X,4.91358,X,X,X,X,X,X,199,25,4050
States,New Mexico,2010,52,X,3.87493,X,X,X,X,X,X,259,23,6684
States,New York,2010,52,X,4.19925,X,X,X,X,X,X,349,100,8311
States,North Carolina,2010,52,X,1.58986,X,X,X,X,X,X,158,73,9938
States,North Dakota,2010,52,X,0,X,X,X,X,X,X,0,10,958
States,Ohio,2010,52,X,0.721306,X,X,X,X,X,X,80,47,11091
States,Oklahoma,2010,52,X,4.9101,X,X,X,X,X,X,142,17,2892
States,Oregon,2010,52,X,2.29709,X,X,X,X,X,X,45,21,1959
States,Pennsylvania,2010,52,X,2.38516,X,X,X,X,X,X,243,56,10188
States,Rhode Island,2010,52,X,1.28881,X,X,X,X,X,X,44,21,3414
States,South Carolina,2010,52,X,1.17429,X,X,X,X,X,X,57,19,4854
States,South Dakota,2010,52,X,1.52446,X,X,X,X,X,X,67,19,4395
States,Tennessee,2010,52,X,2.74332,X,X,X,X,X,X,188,50,6853
States,Texas,2010,52,X,3.40711,X,X,X,X,X,X,1293,81,37950
States,Utah,2010,52,X,1.09006,X,X,X,X,X,X,42,13,3853
States,Vermont,2010,52,X,1.81087,X,X,X,X,X,X,63,15,3479
States,Virginia,2010,52,X,2.3964,X,X,X,X,X,X,1466,86,61175
States,Washington,2010,52,X,2.45902,X,X,X,X,X,X,30,15,1220
States,West Virginia,2010,52,X,1.41386,X,X,X,X,X,X,103,31,7285
States,Wisconsin,2010,52,X,1.38822,X,X,X,X,X,X,29,46,2089
States,Wyoming,2010,52,X,1.46377,X,X,X,X,X,X,60,30,4099
States,New York City,2010,52,X,4.39746,X,X,X,X,X,X,3625,40,82434
States,Alabama,2011,1,X,9.73755,X,X,X,X,X,X,1191,37,12231
States,Alaska,2011,1,X,0.592593,X,X,X,X,X,X,12,8,2025
States,Arizona,2011,1,X,1.59667,X,X,X,X,X,X,411,70,25741
States,Arkansas,2011,1,X,3.36738,X,X,X,X,X,X,122,15,3623
States,California,2011,1,X,3.56213,X,X,X,X,X,X,1190,129,33407
States,Colorado,2011,1,X,0.919508,X,X,X,X,X,X,199,12,21642
States,Connecticut,2011,1,X,0.923191,X,X,X,X,X,X,25,19,2708
States,Delaware,2011,1,X,0.783904,X,X,X,X,X,X,30,12,3827
States,District of Columbia,2011,1,X,4.75874,X,X,X,X,X,X,143,4,3005
States,Florida,2011,1,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2011,1,X,4.82214,X,X,X,X,X,X,1723,63,35731
States,Hawaii,2011,1,X,2.44275,X,X,X,X,X,X,48,18,1965
States,Idaho,2011,1,X,2.03906,X,X,X,X,X,X,95,11,4659
States,Illinois,2011,1,X,2.99071,X,X,X,X,X,X,1172,78,39188
States,Indiana,2011,1,X,1.75182,X,X,X,X,X,X,168,41,9590
States,Iowa,2011,1,X,0.579065,X,X,X,X,X,X,13,9,2245
States,Kansas,2011,1,X,1.05792,X,X,X,X,X,X,101,43,9547
States,Kentucky,2011,1,X,1.27095,X,X,X,X,X,X,135,15,10622
States,Louisiana,2011,1,X,X,X,X,X,X,X,X,X,X,X
States,Maine,2011,1,X,0.509198,X,X,X,X,X,X,31,30,6088
States,Maryland,2011,1,X,2.27061,X,X,X,X,X,X,219,18,9645
States,Massachusetts,2011,1,X,1.17914,X,X,X,X,X,X,328,51,27817
States,Michigan,2011,1,X,0.687039,X,X,X,X,X,X,96,49,13973
States,Minnesota,2011,1,X,1.37079,X,X,X,X,X,X,61,15,4450
States,Mississippi,2011,1,X,6.75844,X,X,X,X,X,X,1139,47,16853
States,Missouri,2011,1,X,2.12687,X,X,X,X,X,X,173,31,8134
States,Montana,2011,1,X,0,X,X,X,X,X,X,0,6,2164
States,Nebraska,2011,1,X,3.00619,X,X,X,X,X,X,102,16,3393
States,Nevada,2011,1,X,3.08241,X,X,X,X,X,X,588,39,19076
States,New Hampshire,2011,1,X,0.328757,X,X,X,X,X,X,17,30,5171
States,New Jersey,2011,1,X,3.95271,X,X,X,X,X,X,224,25,5667
States,New Mexico,2011,1,X,2.95452,X,X,X,X,X,X,241,24,8157
States,New York,2011,1,X,2.87699,X,X,X,X,X,X,352,101,12235
States,North Carolina,2011,1,X,1.5266,X,X,X,X,X,X,289,73,18931
States,North Dakota,2011,1,X,0.264901,X,X,X,X,X,X,4,9,1510
States,Ohio,2011,1,X,0.914853,X,X,X,X,X,X,153,48,16724
States,Oklahoma,2011,1,X,3.02847,X,X,X,X,X,X,100,17,3302
States,Oregon,2011,1,X,1.22262,X,X,X,X,X,X,48,19,3926
States,Pennsylvania,2011,1,X,2.10846,X,X,X,X,X,X,257,56,12189
States,Rhode Island,2011,1,X,0.588452,X,X,X,X,X,X,32,21,5438
States,South Carolina,2011,1,X,1.45963,X,X,X,X,X,X,94,20,6440
States,South Dakota,2011,1,X,1.40617,X,X,X,X,X,X,78,19,5547
States,Tennessee,2011,1,X,1.69993,X,X,X,X,X,X,178,52,10471
States,Texas,2011,1,X,3.21248,X,X,X,X,X,X,1524,89,47440
States,Utah,2011,1,X,0.519955,X,X,X,X,X,X,37,14,7116
States,Vermont,2011,1,X,1.77179,X,X,X,X,X,X,75,15,4233
States,Virginia,2011,1,X,2.48912,X,X,X,X,X,X,1596,87,64119
States,Washington,2011,1,X,1.5224,X,X,X,X,X,X,35,15,2299
States,West Virginia,2011,1,X,1.24516,X,X,X,X,X,X,135,36,10842
States,Wisconsin,2011,1,X,0.801901,X,X,X,X,X,X,27,45,3367
States,Wyoming,2011,1,X,0.806285,X,X,X,X,X,X,39,27,4837
States,New York City,2011,1,X,3.31107,X,X,X,X,X,X,3297,40,99575
States,Alabama,2011,2,X,11.944,X,X,X,X,X,X,1195,38,10005
States,Alaska,2011,2,X,1.48227,X,X,X,X,X,X,28,8,1889
States,Arizona,2011,2,X,1.71146,X,X,X,X,X,X,447,67,26118
States,Arkansas,2011,2,X,4.84672,X,X,X,X,X,X,166,14,3425
States,California,2011,2,X,3.79325,X,X,X,X,X,X,1354,132,35695
States,Colorado,2011,2,X,1.01411,X,X,X,X,X,X,202,12,19919
States,Connecticut,2011,2,X,1.04648,X,X,X,X,X,X,34,22,3249
States,Delaware,2011,2,X,2.53041,X,X,X,X,X,X,104,14,4110
States,District of Columbia,2011,2,X,4.8618,X,X,X,X,X,X,146,4,3003
States,Florida,2011,2,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2011,2,X,4.11148,X,X,X,X,X,X,1133,60,27557
States,Hawaii,2011,2,X,2.01871,X,X,X,X,X,X,41,19,2031
States,Idaho,2011,2,X,2.25623,X,X,X,X,X,X,115,13,5097
States,Illinois,2011,2,X,3.28357,X,X,X,X,X,X,1280,79,38982
States,Indiana,2011,2,X,2.40376,X,X,X,X,X,X,256,41,10650
States,Iowa,2011,2,X,0.459117,X,X,X,X,X,X,21,10,4574
States,Kansas,2011,2,X,1.06197,X,X,X,X,X,X,79,41,7439
States,Kentucky,2011,2,X,0.710557,X,X,X,X,X,X,98,13,13792
States,Louisiana,2011,2,X,X,X,X,X,X,X,X,X,X,X
States,Maine,2011,2,X,0.471204,X,X,X,X,X,X,27,31,5730
