"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  This data file includes only data prior to the 2015-16 influenza season, and will be presented with the public health and clinical labs combined."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,A (2009 H1N1),A (H1),A (H3),A (Subtyping not Performed),A (Unable to Subtype),B,H3N2v
States,Alabama,2010,40,54,0,0,0,0,0,0,0,0
States,Alaska,2010,40,40,0,0,0,0,0,0,0,0
States,Arizona,2010,40,40,2.5,0,0,1,0,0,0,0
States,Arkansas,2010,40,15,0,0,0,0,0,0,0,0
States,California,2010,40,183,3.28,2,0,3,0,0,1,0
States,Colorado,2010,40,126,0.79,0,0,1,0,0,0,0
States,Connecticut,2010,40,54,0,0,0,0,0,0,0,0
States,Delaware,2010,40,75,4,0,0,3,0,0,0,0
States,District of Columbia,2010,40,14,0,0,0,0,0,0,0,0
States,Florida,2010,40,X,X,X,X,X,X,X,X,X
States,Georgia,2010,40,209,0.96,0,0,0,0,0,2,0
States,Hawaii,2010,40,83,10.84,3,0,5,1,0,0,0
States,Idaho,2010,40,X,X,X,X,X,X,X,X,X
States,Illinois,2010,40,44,0,0,0,0,0,0,0,0
States,Indiana,2010,40,88,0,0,0,0,0,0,0,0
States,Iowa,2010,40,46,0,0,0,0,0,0,0,0
States,Kansas,2010,40,X,X,X,X,X,X,X,X,X
States,Kentucky,2010,40,48,2.08,1,0,0,0,0,0,0
States,Louisiana,2010,40,X,X,X,X,X,X,X,X,X
States,Maine,2010,40,X,X,X,X,X,X,X,X,X
States,Maryland,2010,40,13,0,0,0,0,0,0,0,0
States,Massachusetts,2010,40,21,0,0,0,0,0,0,0,0
States,Michigan,2010,40,X,X,X,X,X,X,X,X,X
States,Minnesota,2010,40,51,1.96,0,0,1,0,0,0,0
States,Mississippi,2010,40,12,0,0,0,0,0,0,0,0
States,Missouri,2010,40,160,0,0,0,0,0,0,0,0
States,Montana,2010,40,21,0,0,0,0,0,0,0,0
States,Nebraska,2010,40,20,0,0,0,0,0,0,0,0
States,Nevada,2010,40,X,X,X,X,X,X,X,X,X
States,New Hampshire,2010,40,10,10,1,0,0,0,0,0,0
States,New Jersey,2010,40,X,X,X,X,X,X,X,X,X
States,New Mexico,2010,40,X,X,X,X,X,X,X,X,X
States,New York,2010,40,300,1,0,0,0,3,0,0,0
States,North Carolina,2010,40,X,X,X,X,X,X,X,X,X
States,North Dakota,2010,40,36,2.78,0,0,0,1,0,0,0
States,Ohio,2010,40,61,0,0,0,0,0,0,0,0
States,Oklahoma,2010,40,36,0,0,0,0,0,0,0,0
States,Oregon,2010,40,18,0,0,0,0,0,0,0,0
States,Pennsylvania,2010,40,176,0.57,0,0,0,0,0,1,0
States,Rhode Island,2010,40,X,X,X,X,X,X,X,X,X
States,South Carolina,2010,40,66,1.52,0,0,1,0,0,0,0
States,South Dakota,2010,40,21,0,0,0,0,0,0,0,0
States,Tennessee,2010,40,52,1.92,0,0,0,0,0,1,0
States,Texas,2010,40,301,0.66,0,0,0,1,0,1,0
States,Utah,2010,40,166,2.41,0,0,1,2,0,1,0
States,Vermont,2010,40,X,X,X,X,X,X,X,X,X
States,Virginia,2010,40,24,4.17,0,0,0,0,0,1,0
States,Washington,2010,40,126,1.59,0,0,0,1,0,1,0
States,West Virginia,2010,40,150,0,0,0,0,0,0,0,0
States,Wisconsin,2010,40,93,0,0,0,0,0,0,0,0
States,Wyoming,2010,40,26,0,0,0,0,0,0,0,0
States,Puerto Rico,2010,40,X,X,X,X,X,X,X,X,X
States,Virgin Islands,2010,40,X,X,X,X,X,X,X,X,X
States,New York City,2010,40,X,X,X,X,X,X,X,X,X
States,Alabama,2010,41,46,0,0,0,0,0,0,0,0
States,Alaska,2010,41,38,0,0,0,0,0,0,0,0
States,Arizona,2010,41,47,6.38,0,0,1,0,0,2,0
States,Arkansas,2010,41,20,5,0,0,0,0,0,1,0
States,California,2010,41,163,1.23,0,0,0,0,0,2,0
States,Colorado,2010,41,157,1.27,1,0,1,0,0,0,0
States,Connecticut,2010,41,57,1.75,0,0,1,0,0,0,0
States,Delaware,2010,41,73,1.37,0,0,1,0,0,0,0
States,District of Columbia,2010,41,X,X,X,X,X,X,X,X,X
States,Florida,2010,41,X,X,X,X,X,X,X,X,X
States,Georgia,2010,41,223,1.79,0,0,0,1,0,3,0
States,Hawaii,2010,41,217,7.83,5,0,5,4,0,3,0
States,Idaho,2010,41,X,X,X,X,X,X,X,X,X
States,Illinois,2010,41,40,10,1,0,3,0,0,0,0
States,Indiana,2010,41,97,0,0,0,0,0,0,0,0
States,Iowa,2010,41,46,0,0,0,0,0,0,0,0
States,Kansas,2010,41,10,0,0,0,0,0,0,0,0
States,Kentucky,2010,41,51,3.92,2,0,0,0,0,0,0
States,Louisiana,2010,41,X,X,X,X,X,X,X,X,X
States,Maine,2010,41,X,X,X,X,X,X,X,X,X
States,Maryland,2010,41,13,0,0,0,0,0,0,0,0
States,Massachusetts,2010,41,15,0,0,0,0,0,0,0,0
States,Michigan,2010,41,X,X,X,X,X,X,X,X,X
States,Minnesota,2010,41,64,3.13,0,0,2,0,0,0,0
States,Mississippi,2010,41,X,X,X,X,X,X,X,X,X
States,Missouri,2010,41,168,0,0,0,0,0,0,0,0
States,Montana,2010,41,X,X,X,X,X,X,X,X,X
States,Nebraska,2010,41,17,0,0,0,0,0,0,0,0
States,Nevada,2010,41,X,X,X,X,X,X,X,X,X
States,New Hampshire,2010,41,X,X,X,X,X,X,X,X,X
States,New Jersey,2010,41,X,X,X,X,X,X,X,X,X
States,New Mexico,2010,41,14,0,0,0,0,0,0,0,0
States,New York,2010,41,262,0.76,0,0,0,1,0,1,0
States,North Carolina,2010,41,14,0,0,0,0,0,0,0,0
States,North Dakota,2010,41,38,2.63,0,0,0,1,0,0,0
States,Ohio,2010,41,63,0,0,0,0,0,0,0,0
States,Oklahoma,2010,41,29,0,0,0,0,0,0,0,0
States,Oregon,2010,41,20,0,0,0,0,0,0,0,0
States,Pennsylvania,2010,41,164,0,0,0,0,0,0,0,0
States,Rhode Island,2010,41,X,X,X,X,X,X,X,X,X
States,South Carolina,2010,41,85,1.18,0,0,0,0,0,1,0
States,South Dakota,2010,41,31,0,0,0,0,0,0,0,0
States,Tennessee,2010,41,66,0,0,0,0,0,0,0,0
States,Texas,2010,41,426,2.82,0,0,7,0,0,5,0
States,Utah,2010,41,186,5.38,2,0,6,2,0,0,0
States,Vermont,2010,41,X,X,X,X,X,X,X,X,X
States,Virginia,2010,41,32,0,0,0,0,0,0,0,0
States,Washington,2010,41,145,0,0,0,0,0,0,0,0
States,West Virginia,2010,41,122,0,0,0,0,0,0,0,0
States,Wisconsin,2010,41,84,0,0,0,0,0,0,0,0
States,Wyoming,2010,41,28,0,0,0,0,0,0,0,0
States,Puerto Rico,2010,41,X,X,X,X,X,X,X,X,X
States,Virgin Islands,2010,41,X,X,X,X,X,X,X,X,X
States,New York City,2010,41,X,X,X,X,X,X,X,X,X
States,Alabama,2010,42,55,1.82,0,0,0,0,0,1,0
States,Alaska,2010,42,21,0,0,0,0,0,0,0,0
States,Arizona,2010,42,56,1.79,0,0,1,0,0,0,0
States,Arkansas,2010,42,14,0,0,0,0,0,0,0,0
States,California,2010,42,174,2.87,0,0,1,1,0,3,0
States,Colorado,2010,42,153,0.65,0,0,0,1,0,0,0
States,Connecticut,2010,42,71,1.41,0,0,1,0,0,0,0
States,Delaware,2010,42,87,1.15,0,0,1,0,0,0,0
States,District of Columbia,2010,42,24,0,0,0,0,0,0,0,0
States,Florida,2010,42,X,X,X,X,X,X,X,X,X
States,Georgia,2010,42,158,4.43,0,0,1,1,0,5,0
States,Hawaii,2010,42,214,7.94,5,0,7,2,0,3,0
States,Idaho,2010,42,X,X,X,X,X,X,X,X,X
States,Illinois,2010,42,37,2.7,1,0,0,0,0,0,0
States,Indiana,2010,42,87,0,0,0,0,0,0,0,0
States,Iowa,2010,42,42,0,0,0,0,0,0,0,0
States,Kansas,2010,42,10,10,0,0,1,0,0,0,0
States,Kentucky,2010,42,52,0,0,0,0,0,0,0,0
States,Louisiana,2010,42,X,X,X,X,X,X,X,X,X
States,Maine,2010,42,X,X,X,X,X,X,X,X,X
States,Maryland,2010,42,21,4.76,0,0,0,0,0,1,0
States,Massachusetts,2010,42,14,0,0,0,0,0,0,0,0
States,Michigan,2010,42,X,X,X,X,X,X,X,X,X
States,Minnesota,2010,42,61,0,0,0,0,0,0,0,0
States,Mississippi,2010,42,X,X,X,X,X,X,X,X,X
States,Missouri,2010,42,175,0.57,0,0,1,0,0,0,0
States,Montana,2010,42,X,X,X,X,X,X,X,X,X
States,Nebraska,2010,42,12,0,0,0,0,0,0,0,0
States,Nevada,2010,42,X,X,X,X,X,X,X,X,X
States,New Hampshire,2010,42,20,0,0,0,0,0,0,0,0
States,New Jersey,2010,42,X,X,X,X,X,X,X,X,X
States,New Mexico,2010,42,16,0,0,0,0,0,0,0,0
States,New York,2010,42,327,0.61,0,0,2,0,0,0,0
States,North Carolina,2010,42,17,0,0,0,0,0,0,0,0
States,North Dakota,2010,42,23,0,0,0,0,0,0,0,0
States,Ohio,2010,42,58,0,0,0,0,0,0,0,0
States,Oklahoma,2010,42,43,0,0,0,0,0,0,0,0
States,Oregon,2010,42,14,0,0,0,0,0,0,0,0
States,Pennsylvania,2010,42,145,0.69,0,0,1,0,0,0,0
States,Rhode Island,2010,42,X,X,X,X,X,X,X,X,X
States,South Carolina,2010,42,100,0,0,0,0,0,0,0,0
States,South Dakota,2010,42,34,0,0,0,0,0,0,0,0
States,Tennessee,2010,42,73,1.37,0,0,1,0,0,0,0
States,Texas,2010,42,390,3.08,1,0,4,1,0,6,0
States,Utah,2010,42,192,0.52,0,0,0,1,0,0,0
States,Vermont,2010,42,X,X,X,X,X,X,X,X,X
States,Virginia,2010,42,35,8.57,0,0,1,0,0,2,0
States,Washington,2010,42,161,0,0,0,0,0,0,0,0
States,West Virginia,2010,42,169,0,0,0,0,0,0,0,0
States,Wisconsin,2010,42,88,1.14,0,0,1,0,0,0,0
States,Wyoming,2010,42,33,3.03,0,0,0,1,0,0,0
States,Puerto Rico,2010,42,X,X,X,X,X,X,X,X,X
States,Virgin Islands,2010,42,X,X,X,X,X,X,X,X,X
States,New York City,2010,42,X,X,X,X,X,X,X,X,X
States,Alabama,2010,43,64,7.81,0,0,1,1,0,3,0
States,Alaska,2010,43,37,0,0,0,0,0,0,0,0
States,Arizona,2010,43,44,4.55,0,0,1,0,0,1,0
States,Arkansas,2010,43,15,6.67,0,0,1,0,0,0,0
States,California,2010,43,168,1.79,1,0,2,0,0,0,0
States,Colorado,2010,43,162,1.85,0,0,1,2,0,0,0
States,Connecticut,2010,43,77,2.6,0,0,1,0,0,1,0
States,Delaware,2010,43,95,0,0,0,0,0,0,0,0
States,District of Columbia,2010,43,15,0,0,0,0,0,0,0,0
States,Florida,2010,43,X,X,X,X,X,X,X,X,X
States,Georgia,2010,43,234,2.99,0,0,0,0,0,7,0
States,Hawaii,2010,43,133,12.03,5,0,6,2,0,3,0
States,Idaho,2010,43,X,X,X,X,X,X,X,X,X
States,Illinois,2010,43,49,0,0,0,0,0,0,0,0
States,Indiana,2010,43,96,0,0,0,0,0,0,0,0
States,Iowa,2010,43,47,2.13,0,0,0,1,0,0,0
States,Kansas,2010,43,11,0,0,0,0,0,0,0,0
States,Kentucky,2010,43,48,0,0,0,0,0,0,0,0
States,Louisiana,2010,43,X,X,X,X,X,X,X,X,X
States,Maine,2010,43,X,X,X,X,X,X,X,X,X
States,Maryland,2010,43,34,2.94,0,0,1,0,0,0,0
States,Massachusetts,2010,43,22,4.55,0,0,1,0,0,0,0
States,Michigan,2010,43,X,X,X,X,X,X,X,X,X
States,Minnesota,2010,43,95,5.26,0,0,5,0,0,0,0
States,Mississippi,2010,43,X,X,X,X,X,X,X,X,X
States,Missouri,2010,43,186,0,0,0,0,0,0,0,0
States,Montana,2010,43,X,X,X,X,X,X,X,X,X
States,Nebraska,2010,43,33,0,0,0,0,0,0,0,0
States,Nevada,2010,43,X,X,X,X,X,X,X,X,X
States,New Hampshire,2010,43,17,0,0,0,0,0,0,0,0
States,New Jersey,2010,43,X,X,X,X,X,X,X,X,X
States,New Mexico,2010,43,19,0,0,0,0,0,0,0,0
States,New York,2010,43,294,1.36,0,0,2,2,0,0,0
States,North Carolina,2010,43,10,0,0,0,0,0,0,0,0
States,North Dakota,2010,43,30,0,0,0,0,0,0,0,0
States,Ohio,2010,43,65,1.54,0,0,1,0,0,0,0
States,Oklahoma,2010,43,44,2.27,1,0,0,0,0,0,0
States,Oregon,2010,43,16,0,0,0,0,0,0,0,0
States,Pennsylvania,2010,43,159,1.26,0,0,2,0,0,0,0
States,Rhode Island,2010,43,X,X,X,X,X,X,X,X,X
States,South Carolina,2010,43,109,0,0,0,0,0,0,0,0
States,South Dakota,2010,43,28,0,0,0,0,0,0,0,0
States,Tennessee,2010,43,59,1.69,1,0,0,0,0,0,0
States,Texas,2010,43,390,2.56,0,0,3,1,0,6,0
States,Utah,2010,43,212,4.72,5,0,3,1,0,1,0
States,Vermont,2010,43,X,X,X,X,X,X,X,X,X
States,Virginia,2010,43,39,0,0,0,0,0,0,0,0
States,Washington,2010,43,170,3.53,0,0,5,0,0,1,0
States,West Virginia,2010,43,150,0,0,0,0,0,0,0,0
States,Wisconsin,2010,43,89,1.12,0,0,1,0,0,0,0
States,Wyoming,2010,43,35,0,0,0,0,0,0,0,0
States,Puerto Rico,2010,43,X,X,X,X,X,X,X,X,X
States,Virgin Islands,2010,43,X,X,X,X,X,X,X,X,X
States,New York City,2010,43,X,X,X,X,X,X,X,X,X
States,Alabama,2010,44,69,15.94,0,0,4,0,0,7,0
States,Alaska,2010,44,32,0,0,0,0,0,0,0,0
States,Arizona,2010,44,67,1.49,0,0,1,0,0,0,0
States,Arkansas,2010,44,17,5.88,0,0,1,0,0,0,0
States,California,2010,44,229,3.06,1,0,2,0,0,4,0
States,Colorado,2010,44,163,1.23,0,0,0,2,0,0,0
States,Connecticut,2010,44,68,0,0,0,0,0,0,0,0
States,Delaware,2010,44,96,0,0,0,0,0,0,0,0
States,District of Columbia,2010,44,X,X,X,X,X,X,X,X,X
States,Florida,2010,44,X,X,X,X,X,X,X,X,X
States,Georgia,2010,44,353,7.93,0,0,0,1,0,27,0
States,Hawaii,2010,44,184,5.43,3,0,2,1,0,4,0
States,Idaho,2010,44,X,X,X,X,X,X,X,X,X
States,Illinois,2010,44,51,3.92,0,0,2,0,0,0,0
States,Indiana,2010,44,89,0,0,0,0,0,0,0,0
States,Iowa,2010,44,64,1.56,0,0,0,0,0,1,0
States,Kansas,2010,44,14,7.14,1,0,0,0,0,0,0
States,Kentucky,2010,44,49,4.08,2,0,0,0,0,0,0
States,Louisiana,2010,44,X,X,X,X,X,X,X,X,X
States,Maine,2010,44,11,0,0,0,0,0,0,0,0
States,Maryland,2010,44,32,3.13,0,0,1,0,0,0,0
States,Massachusetts,2010,44,21,4.76,0,0,1,0,0,0,0
States,Michigan,2010,44,X,X,X,X,X,X,X,X,X
States,Minnesota,2010,44,86,1.16,0,0,1,0,0,0,0
States,Mississippi,2010,44,X,X,X,X,X,X,X,X,X
States,Missouri,2010,44,178,0.56,0,0,0,1,0,0,0
States,Montana,2010,44,10,0,0,0,0,0,0,0,0
States,Nebraska,2010,44,17,0,0,0,0,0,0,0,0
States,Nevada,2010,44,X,X,X,X,X,X,X,X,X
States,New Hampshire,2010,44,19,5.26,0,0,1,0,0,0,0
States,New Jersey,2010,44,X,X,X,X,X,X,X,X,X
States,New Mexico,2010,44,22,0,0,0,0,0,0,0,0
States,New York,2010,44,360,2.5,0,0,7,1,0,1,0
States,North Carolina,2010,44,17,0,0,0,0,0,0,0,0
States,North Dakota,2010,44,27,3.7,0,0,0,1,0,0,0
States,Ohio,2010,44,54,1.85,0,0,0,1,0,0,0
States,Oklahoma,2010,44,39,0,0,0,0,0,0,0,0
States,Oregon,2010,44,17,0,0,0,0,0,0,0,0
States,Pennsylvania,2010,44,161,4.35,2,0,3,0,0,2,0
States,Rhode Island,2010,44,X,X,X,X,X,X,X,X,X
States,South Carolina,2010,44,73,0,0,0,0,0,0,0,0
States,South Dakota,2010,44,21,0,0,0,0,0,0,0,0
States,Tennessee,2010,44,70,0,0,0,0,0,0,0,0
States,Texas,2010,44,395,2.78,0,0,1,4,0,6,0
States,Utah,2010,44,270,8.89,2,0,15,5,0,2,0
States,Vermont,2010,44,X,X,X,X,X,X,X,X,X
States,Virginia,2010,44,56,0,0,0,0,0,0,0,0
States,Washington,2010,44,135,1.48,0,0,1,0,0,1,0
States,West Virginia,2010,44,129,0,0,0,0,0,0,0,0
States,Wisconsin,2010,44,117,1.71,0,0,2,0,0,0,0
States,Wyoming,2010,44,32,0,0,0,0,0,0,0,0
States,Puerto Rico,2010,44,X,X,X,X,X,X,X,X,X
States,Virgin Islands,2010,44,X,X,X,X,X,X,X,X,X
States,New York City,2010,44,X,X,X,X,X,X,X,X,X
States,Alabama,2010,45,107,12.15,0,0,2,0,0,11,0
States,Alaska,2010,45,45,4.44,0,0,1,0,0,1,0
States,Arizona,2010,45,82,3.66,0,0,2,0,0,1,0
States,Arkansas,2010,45,19,10.53,0,0,2,0,0,0,0
States,California,2010,45,213,3.29,0,0,1,1,0,5,0
States,Colorado,2010,45,212,2.36,0,0,0,5,0,0,0
States,Connecticut,2010,45,64,1.56,1,0,0,0,0,0,0
States,Delaware,2010,45,105,0.95,1,0,0,0,0,0,0
States,District of Columbia,2010,45,X,X,X,X,X,X,X,X,X
States,Florida,2010,45,X,X,X,X,X,X,X,X,X
States,Georgia,2010,45,426,15.73,0,0,0,3,0,64,0
States,Hawaii,2010,45,183,1.64,0,0,1,1,0,1,0
States,Idaho,2010,45,X,X,X,X,X,X,X,X,X
States,Illinois,2010,45,36,2.78,0,0,1,0,0,0,0
States,Indiana,2010,45,99,0,0,0,0,0,0,0,0
States,Iowa,2010,45,73,0,0,0,0,0,0,0,0
States,Kansas,2010,45,17,0,0,0,0,0,0,0,0
States,Kentucky,2010,45,45,8.89,3,0,1,0,0,0,0
States,Louisiana,2010,45,X,X,X,X,X,X,X,X,X
States,Maine,2010,45,X,X,X,X,X,X,X,X,X
States,Maryland,2010,45,30,0,0,0,0,0,0,0,0
States,Massachusetts,2010,45,14,0,0,0,0,0,0,0,0
States,Michigan,2010,45,X,X,X,X,X,X,X,X,X
States,Minnesota,2010,45,107,4.67,0,0,5,0,0,0,0
States,Mississippi,2010,45,15,20,0,0,0,0,0,3,0
States,Missouri,2010,45,190,0,0,0,0,0,0,0,0
States,Montana,2010,45,13,0,0,0,0,0,0,0,0
States,Nebraska,2010,45,21,0,0,0,0,0,0,0,0
States,Nevada,2010,45,X,X,X,X,X,X,X,X,X
States,New Hampshire,2010,45,19,0,0,0,0,0,0,0,0
States,New Jersey,2010,45,X,X,X,X,X,X,X,X,X
States,New Mexico,2010,45,20,0,0,0,0,0,0,0,0
States,New York,2010,45,407,3.44,0,0,9,5,0,0,0
States,North Carolina,2010,45,21,4.76,0,0,1,0,0,0,0
States,North Dakota,2010,45,79,0,0,0,0,0,0,0,0
States,Ohio,2010,45,68,4.41,1,0,1,1,0,0,0
States,Oklahoma,2010,45,46,0,0,0,0,0,0,0,0
States,Oregon,2010,45,32,0,0,0,0,0,0,0,0
States,Pennsylvania,2010,45,177,2.82,3,0,2,0,0,0,0
States,Rhode Island,2010,45,X,X,X,X,X,X,X,X,X
States,South Carolina,2010,45,117,3.42,0,0,2,0,0,2,0
States,South Dakota,2010,45,19,0,0,0,0,0,0,0,0
States,Tennessee,2010,45,86,0,0,0,0,0,0,0,0
States,Texas,2010,45,499,1.8,0,0,3,2,0,4,0
States,Utah,2010,45,270,8.15,2,0,16,3,0,1,0
States,Vermont,2010,45,X,X,X,X,X,X,X,X,X
States,Virginia,2010,45,60,0,0,0,0,0,0,0,0
States,Washington,2010,45,162,0.62,0,0,1,0,0,0,0
States,West Virginia,2010,45,171,1.75,3,0,0,0,0,0,0
States,Wisconsin,2010,45,109,0.92,0,0,1,0,0,0,0
States,Wyoming,2010,45,32,0,0,0,0,0,0,0,0
States,Puerto Rico,2010,45,X,X,X,X,X,X,X,X,X
States,Virgin Islands,2010,45,X,X,X,X,X,X,X,X,X
States,New York City,2010,45,X,X,X,X,X,X,X,X,X
States,Alabama,2010,46,97,17.53,0,0,1,0,0,16,0
States,Alaska,2010,46,32,0,0,0,0,0,0,0,0
States,Arizona,2010,46,69,1.45,0,0,1,0,0,0,0
States,Arkansas,2010,46,25,4,0,0,1,0,0,0,0
States,California,2010,46,275,4.73,0,0,2,0,0,11,0
States,Colorado,2010,46,154,1.95,0,0,0,3,0,0,0
States,Connecticut,2010,46,84,3.57,0,0,3,0,0,0,0
States,Delaware,2010,46,81,1.23,1,0,0,0,0,0,0
States,District of Columbia,2010,46,17,5.88,0,0,1,0,0,0,0
States,Florida,2010,46,X,X,X,X,X,X,X,X,X
States,Georgia,2010,46,628,18.95,2,0,3,4,0,110,0
States,Hawaii,2010,46,194,4.12,0,0,1,1,0,6,0
States,Idaho,2010,46,X,X,X,X,X,X,X,X,X
States,Illinois,2010,46,29,10.34,0,0,3,0,0,0,0
States,Indiana,2010,46,89,0,0,0,0,0,0,0,0
States,Iowa,2010,46,60,0,0,0,0,0,0,0,0
States,Kansas,2010,46,13,0,0,0,0,0,0,0,0
States,Kentucky,2010,46,45,8.89,4,0,0,0,0,0,0
States,Louisiana,2010,46,X,X,X,X,X,X,X,X,X
States,Maine,2010,46,X,X,X,X,X,X,X,X,X
States,Maryland,2010,46,42,14.29,1,0,5,0,0,0,0
States,Massachusetts,2010,46,16,6.25,0,0,1,0,0,0,0
States,Michigan,2010,46,X,X,X,X,X,X,X,X,X
States,Minnesota,2010,46,100,10,0,0,10,0,0,0,0
States,Mississippi,2010,46,13,30.77,0,0,0,0,0,4,0
States,Missouri,2010,46,191,0,0,0,0,0,0,0,0
States,Montana,2010,46,X,X,X,X,X,X,X,X,X
States,Nebraska,2010,46,33,6.06,0,0,0,0,0,2,0
States,Nevada,2010,46,18,16.67,1,0,2,0,0,0,0
States,New Hampshire,2010,46,17,0,0,0,0,0,0,0,0
States,New Jersey,2010,46,X,X,X,X,X,X,X,X,X
States,New Mexico,2010,46,18,5.56,0,0,0,0,0,1,0
States,New York,2010,46,421,6.18,0,0,14,12,0,0,0
States,North Carolina,2010,46,21,9.52,0,0,0,0,0,2,0
States,North Dakota,2010,46,37,0,0,0,0,0,0,0,0
States,Ohio,2010,46,58,10.34,4,0,2,0,0,0,0
States,Oklahoma,2010,46,68,5.88,0,0,0,1,0,3,0
States,Oregon,2010,46,16,0,0,0,0,0,0,0,0
States,Pennsylvania,2010,46,204,5.88,3,0,6,3,0,0,0
States,Rhode Island,2010,46,X,X,X,X,X,X,X,X,X
States,South Carolina,2010,46,118,1.69,0,0,1,0,0,1,0
States,South Dakota,2010,46,32,0,0,0,0,0,0,0,0
States,Tennessee,2010,46,91,0,0,0,0,0,0,0,0
States,Texas,2010,46,447,3.58,0,0,3,3,0,10,0
States,Utah,2010,46,277,14.44,3,0,27,10,0,0,0
States,Vermont,2010,46,X,X,X,X,X,X,X,X,X
States,Virginia,2010,46,63,1.59,0,0,1,0,0,0,0
States,Washington,2010,46,152,3.29,0,0,4,1,0,0,0
States,West Virginia,2010,46,176,2.84,3,0,0,2,0,0,0
States,Wisconsin,2010,46,122,1.64,0,0,2,0,0,0,0
States,Wyoming,2010,46,20,0,0,0,0,0,0,0,0
States,Puerto Rico,2010,46,X,X,X,X,X,X,X,X,X
States,Virgin Islands,2010,46,X,X,X,X,X,X,X,X,X
States,New York City,2010,46,X,X,X,X,X,X,X,X,X
States,Alabama,2010,47,97,17.53,2,0,3,0,0,12,0
States,Alaska,2010,47,29,0,0,0,0,0,0,0,0
States,Arizona,2010,47,69,13.04,0,0,8,0,0,1,0
States,Arkansas,2010,47,36,5.56,0,0,2,0,0,0,0
States,California,2010,47,223,2.69,0,0,1,0,0,5,0
States,Colorado,2010,47,205,5.37,0,0,8,3,0,0,0
States,Connecticut,2010,47,79,2.53,0,0,2,0,0,0,0
States,Delaware,2010,47,69,0,0,0,0,0,0,0,0
States,District of Columbia,2010,47,X,X,X,X,X,X,X,X,X
States,Florida,2010,47,X,X,X,X,X,X,X,X,X
States,Georgia,2010,47,861,18.82,0,0,2,7,0,153,0
States,Hawaii,2010,47,163,7.36,0,0,2,3,0,7,0
States,Idaho,2010,47,X,X,X,X,X,X,X,X,X
States,Illinois,2010,47,38,13.16,0,0,5,0,0,0,0
States,Indiana,2010,47,84,0,0,0,0,0,0,0,0
States,Iowa,2010,47,43,2.33,0,0,0,0,0,1,0
States,Kansas,2010,47,11,0,0,0,0,0,0,0,0
States,Kentucky,2010,47,51,7.84,3,0,1,0,0,0,0
States,Louisiana,2010,47,X,X,X,X,X,X,X,X,X
States,Maine,2010,47,X,X,X,X,X,X,X,X,X
States,Maryland,2010,47,26,3.85,0,0,1,0,0,0,0
States,Massachusetts,2010,47,21,0,0,0,0,0,0,0,0
States,Michigan,2010,47,X,X,X,X,X,X,X,X,X
States,Minnesota,2010,47,104,15.38,0,0,16,0,0,0,0
States,Mississippi,2010,47,X,X,X,X,X,X,X,X,X
States,Missouri,2010,47,184,0.54,0,0,0,1,0,0,0
States,Montana,2010,47,33,6.06,1,0,0,1,0,0,0
States,Nebraska,2010,47,39,0,0,0,0,0,0,0,0
States,Nevada,2010,47,X,X,X,X,X,X,X,X,X
States,New Hampshire,2010,47,11,18.18,0,0,2,0,0,0,0
States,New Jersey,2010,47,X,X,X,X,X,X,X,X,X
States,New Mexico,2010,47,X,X,X,X,X,X,X,X,X
States,New York,2010,47,534,5.24,0,0,10,17,0,1,0
States,North Carolina,2010,47,12,33.33,1,0,1,0,0,2,0
States,North Dakota,2010,47,49,4.08,0,0,1,1,0,0,0
States,Ohio,2010,47,64,3.13,0,0,2,0,0,0,0
States,Oklahoma,2010,47,48,2.08,0,0,0,1,0,0,0
States,Oregon,2010,47,11,0,0,0,0,0,0,0,0
States,Pennsylvania,2010,47,135,13.33,1,0,14,1,0,2,0
States,Rhode Island,2010,47,X,X,X,X,X,X,X,X,X
States,South Carolina,2010,47,61,3.28,0,0,2,0,0,0,0
States,South Dakota,2010,47,23,4.35,0,0,0,0,0,1,0
States,Tennessee,2010,47,29,0,0,0,0,0,0,0,0
States,Texas,2010,47,446,6.05,0,0,4,12,0,11,0
States,Utah,2010,47,294,12.59,0,0,31,3,0,3,0
States,Vermont,2010,47,X,X,X,X,X,X,X,X,X
States,Virginia,2010,47,31,3.23,1,0,0,0,0,0,0
States,Washington,2010,47,143,4.9,1,0,4,2,0,0,0
States,West Virginia,2010,47,147,0,0,0,0,0,0,0,0
States,Wisconsin,2010,47,91,3.3,0,0,2,1,0,0,0
States,Wyoming,2010,47,16,0,0,0,0,0,0,0,0
States,Puerto Rico,2010,47,X,X,X,X,X,X,X,X,X
States,Virgin Islands,2010,47,X,X,X,X,X,X,X,X,X
States,New York City,2010,47,X,X,X,X,X,X,X,X,X
States,Alabama,2010,48,89,17.98,0,0,3,0,0,13,0
States,Alaska,2010,48,36,0,0,0,0,0,0,0,0
States,Arizona,2010,48,104,13.46,2,0,10,0,0,2,0
States,Arkansas,2010,48,27,7.41,1,0,1,0,0,0,0
States,California,2010,48,327,4.89,2,0,0,1,0,13,0
States,Colorado,2010,48,196,4.59,0,0,5,4,0,0,0
States,Connecticut,2010,48,97,3.09,0,0,3,0,0,0,0
States,Delaware,2010,48,90,5.56,1,0,4,0,0,0,0
States,District of Columbia,2010,48,13,0,0,0,0,0,0,0,0
